"","charMA.DRUGBANK_ID","charMA.DRUG_GROUPS","charMA.GENERIC_NAME"
"CMP4922","DB07519","experimental","(6R)-2-amino-6-[2-(3'-methoxybiphenyl-3-yl)ethyl]-3,6-dimethyl-5,6-dihydropyrimidin-4(3H)-one"
"CMP4923","DB07520","experimental","N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(MORPHOLIN-4-YLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE"
"CMP4924","DB07521","experimental","(3Z,6S)-6-Chloro-1-(2-{[(5-chloro-1-benzothiophen-3-yl)methyl]amino}ethyl)-3-({2-[(2R)-2-piperidinyl]ethyl}imino)-2-piperazinol"
"CMP4925","DB07522","experimental","N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]NAPHTHALENE-2-SULFONAMIDE"
"CMP4926","DB07524","experimental","N-phenyl-1H-pyrrolo[2,3-b]pyridin-3-amine"
"CMP4927","DB07525","experimental","3-(3-methoxybenzyl)-1H-pyrrolo[2,3-b]pyridine"
"CMP4928","DB07526","experimental","N-[4-({[5-(DIMETHYLAMINO)-1-NAPHTHYL]SULFONYL}AMINO)BUTYL]-3-SULFANYLPROPANAMIDE"
"CMP4929","DB07527","experimental","N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]-4-METHOXY-2,3,6-TRIMETHYLBENZENESULFONAMIDE"
"CMP4930","DB07528","experimental","3-(2-aminoquinazolin-6-yl)-4-methyl-1-[3-(trifluoromethyl)phenyl]pyridin-2(1H)-one"
"CMP4931","DB07529","experimental","(5E)-2-Amino-5-(2-pyridinylmethylene)-1,3-thiazol-4(5H)-one"
"CMP4932","DB07530","experimental","(1R,3R)-5-[(2E)-3-{(1S,3R)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol"
"CMP4933","DB07531","experimental","4-{5-[(Z)-(2,4-DIOXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZENESULFONAMIDE"
"CMP4934","DB07532","experimental","N-hexanoyl-L-homoserine"
"CMP4935","DB07533","experimental","4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]-2-FURYL}-N-METHYLBENZENESULFONAMIDE"
"CMP4936","DB07534","experimental","4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZENESULFONAMIDE"
"CMP4937","DB07535","experimental","2-amino-6-[2-(1H-indol-6-yl)ethyl]pyrimidin-4(3H)-one"
"CMP4938","DB07536","experimental","N-{(1S,2R)-2-hydroxy-1-[(hydroxyamino)carbonyl]propyl}-4-{[4-(morpholin-4-ylmethyl)phenyl]ethynyl}benzamide"
"CMP4939","DB07537","experimental","N'-(6-aminopyridin-3-yl)-N-(2-cyclopentylethyl)-4-methyl-benzene-1,3-dicarboxamide"
"CMP4940","DB07538","experimental","4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}-2-(TRIFLUOROMETHYL)BENZENESULFONAMIDE"
"CMP4941","DB07539","experimental","4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZOIC ACID"
"CMP4942","DB07540","experimental","4-{5-[(1Z)-1-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)ETHYL]-2-FURYL}BENZENESULFONAMIDE"
"CMP4943","DB07542","experimental","5-Amino-6-cyclohexyl-4-hydroxy-2-isobutyl-hexanoic acid"
"CMP4944","DB07543","experimental","(S)-carazolol"
"CMP4945","DB07544","experimental","N'-(5-CHLOROBENZOFURAN-2-CARBONYL)-2-(TRIFLUOROMETHYL)BENZENESULFONOHYDRAZIDE"
"CMP4946","DB07545","experimental","N-{3-[(4-{[3-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-2-YL)AMINO]PHENYL}CYCLOPROPANECARBOXAMIDE"
"CMP4947","DB07546","experimental","[1-(6-{6-[(1-methylethyl)amino]-1H-indazol-1-yl}pyrazin-2-yl)-1H-pyrrol-3-yl]acetic acid"
"CMP4948","DB07547","experimental","5-(4-CYANOPHENYL)-3-{[(2-METHYLPHENYL)SULFONYL]AMINO}THIOPHENE-2-CARBOXYLIC ACID"
"CMP4949","DB07548","experimental","2-(6-Chloro-3-{[2,2-difluoro-2-(2-pyridinyl)ethyl]amino}-2-oxo-1(2H)-pyrazinyl)-N-[(2-fluoro-6-pyridinyl)methyl]acetamide"
"CMP4950","DB07549","experimental","2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUORO-3-METHYL-6-PYRIDINYL)METHYL]ACETAMIDE"
"CMP4951","DB07550","experimental","2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(1-OXIDO-2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUOROPHENYL)METHYL]ACETAMIDE"
"CMP4952","DB07551","experimental","(2S)-2-{[4-chloro-6-(ethylamino)-1,3,5-triazin-2-yl]amino}-2-methylbutanenitrile"
"CMP4953","DB07552","experimental","(2R)-2-{[4-chloro-6-(ethylamino)-1,3,5-triazin-2-yl]amino}-2-methylbutanenitrile"
"CMP4954","DB07553","experimental","9,9,9-TRIFLUORO-8-OXO-N-PHENYLNONANAMIDE"
"CMP4955","DB07556","experimental","CGS-27023"
"CMP4956","DB07557","experimental","3,20-Pregnanedione"
"CMP4957","DB07559","experimental","(2Z)-2-cyano-N-(2,2'-dichlorobiphenyl-4-yl)-3-hydroxybut-2-enamide"
"CMP4958","DB07560","experimental","N-[(1S)-2-methyl-1-(pyridin-4-ylcarbamoyl)propyl]cyclohexanecarboxamide"
"CMP4959","DB07561","experimental","(2Z)-2-cyano-N-(3'-ethoxybiphenyl-4-yl)-3-hydroxybut-2-enamide"
"CMP4960","DB07562","experimental","N-[4-(2,4-DIMETHYL-THIAZOL-5-YL)-PYRIMIDIN-2-YL]-N',N'-DIMETHYL-BENZENE-1,4-DIAMINE"
"CMP4961","DB07563","experimental","1-{7-cyclohexyl-6-[4-(4-methylpiperazin-1-yl)benzyl]-7H-pyrrolo[2,3-d]pyrimidin-2-yl}methanamine"
"CMP4962","DB07564","experimental","6-amino-2-[(2-morpholin-4-ylethyl)amino]-3,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one"
"CMP4963","DB07565","approved","Chloramphenicol succinate"
"CMP4964","DB07567","experimental","(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL"
"CMP4965","DB07568","experimental","(2S)-2-[(2,1,3-BENZOTHIADIAZOL-4-YLSULFONYL)AMINO]-2-PHENYL-N-PYRIDIN-4-YLACETAMIDE"
"CMP4966","DB07570","experimental","3-CYCLOHEXYL-1-(2-MORPHOLIN-4-YL-2-OXOETHYL)-2-PHENYL-1H-INDOLE-6-CARBOXYLIC ACID"
"CMP4967","DB07571","experimental","N~2~-[(BENZYLOXY)CARBONYL]-N-[(1S,2S)-2-HYDROXY-1-(4-HYDROXYBENZYL)PROPYL]-L-LEUCINAMIDE"
"CMP4968","DB07572","experimental","3-{[(4-methylphenyl)sulfonyl]amino}propyl pyridin-4-ylcarbamate"
"CMP4969","DB07573","experimental","(2S)-1-(2,5-dimethylphenoxy)-3-morpholin-4-ylpropan-2-ol"
"CMP4970","DB07574","experimental","2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE"
"CMP4971","DB07575","experimental","2,4-DIAMINO-1,5-DIPHENYL-3-HYDROXYPENTANE"
"CMP4972","DB07577","experimental","2,4-Diamino-5-phenyl-6-ethylpyrimidine"
"CMP4973","DB07578","experimental","CP-94707"
"CMP4974","DB07579","experimental","Bis-1,2-{[(Z)-2-carboxy-2-methyl-1,3-dioxane]-5-yloxycarbamoyl}-ethane"
"CMP4975","DB07581","experimental","5-AMINO-6-CYCLOHEXYL-4-HYDROXY-2-ISOPROPYL-HEXANOIC ACID"
"CMP4976","DB07582","experimental","N-[(2R,3S)-1-((2S)-2-{[(CYCLOPENTYLAMINO)CARBONYL]AMINO}-3-METHYLBUTANOYL)-2-(1-FORMYL-1-CYCLOBUTYL)PYRROLIDINYL]CYCLOPROPANECARBOXAMIDE"
"CMP4977","DB07583","experimental","(4R,2S)-5'-(4-(4-CHLOROBENZYLOXY)PYRROLIDIN-2-YLMETHANESULFONYL)ISOQUINOLINE"
"CMP4978","DB07584","experimental","N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine"
"CMP4979","DB07585","experimental","5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine"
"CMP4980","DB07586","experimental","5-(4-METHYL-BENZOYLAMINO)-BIPHENYL-3,4'-DICARBOXYLIC ACID 3-DIMETHYLAMIDE-4'-HYDROXYAMIDE"
"CMP4981","DB07587","experimental","N-(1-CYANOCYCLOPROPYL)-3-({[(2S)-5-OXOPYRROLIDIN-2-YL]METHYL}SULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE"
"CMP4982","DB07588","experimental","3,4-DI-1H-INDOL-3-YL-1H-PYRROLE-2,5-DICARBOXYLIC ACID"
"CMP4983","DB07589","experimental","N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(BENZYLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-HYDROXYPHENYL)ETHYL]-L-ALANINAMIDE"
"CMP4984","DB07590","experimental","S-[3-(3,4-DICHLOROPHENYL)-3-OXOPROPYL]-L-CYSTEINE"
"CMP4985","DB07591","experimental","N1-CYCLOPENTYL-N2-(THIAZOL-2-YL)OXALAMIDE"
"CMP4986","DB07592","experimental","(2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate"
"CMP4987","DB07593","experimental","1-(PHENYLMETHYL)CYCLOPENTYL[(1S)-1-FORMYLPENTYL]CARBAMATE"
"CMP4988","DB07594","experimental","CCT-018159"
"CMP4989","DB07595","experimental","(5Z)-5-(3-BROMOCYCLOHEXA-2,5-DIEN-1-YLIDENE)-N-(PYRIDIN-4-YLMETHYL)-1,5-DIHYDROPYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE"
"CMP4990","DB07596","experimental","(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate"
"CMP4991","DB07597","experimental","CIS-(1R,2S)-2-AMINO-1,2,3,4-TETRAHYDRONAPHTHALEN-1-OL"
"CMP4992","DB07598","experimental","2,3,6A,7,8,9-HEXAHYDRO-11H-[1,4]DIOXINO[2,3-G]PYRROLO[2,1-B][1,3]BENZOXAZIN-11-ONE"
"CMP4993","DB07602","experimental","S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE"
"CMP4994","DB07603","experimental","N-hexanoyl-L-homocysteine"
"CMP4995","DB07605","experimental","2-({4-[(5-CHLORO-1H-INDOL-2-YL)SULFONYL]PIPERAZIN-1-YL}CARBONYL)THIENO[3,2-B]PYRIDINE 4-OXIDE"
"CMP4996","DB07607","experimental","4-[5-(3-IODO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-1H-IMIDAZOL-4-YL]-PYRIDINE"
"CMP4997","DB07608","experimental","N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide"
"CMP4998","DB07609","experimental","N,N-DIMETHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE"
"CMP4999","DB07610","experimental","1,2-Dihydroxynaphthalene"
"CMP5000","DB07611","experimental","DECANE-1-THIOL"
"CMP5001","DB07612","experimental","6-(3-AMINOPHENYL)-N-(TERT-BUTYL)-2-(TRIFLUOROMETHYL)QUINAZOLIN-4-AMINE"
"CMP5002","DB07613","experimental","3-phenyl-5-(1H-pyrazol-3-yl)isoxazole"
"CMP5003","DB07614","experimental","PHENYL-5-(1H-PYRAZOL-3-YL)-1,3-THIAZOLE"
"CMP5004","DB07615","investigational","Tranilast"
"CMP5005","DB07616","experimental","4-{[4-(4-fluoro-3-methylphenyl)-1,3-thiazol-2-yl]amino}-2-hydroxybenzoic acid"
"CMP5006","DB07617","experimental","N-METHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE"
"CMP5007","DB07618","experimental","2-(4-(AMINOMETHYL)PIPERIDIN-1-YL)-N-(3_CYCLOHEXYL-4-OXO-2,4-DIHYDROINDENO[1,2-C]PYRAZOL-5-YL)ACETAMIDE"
"CMP5008","DB07620","experimental","2-[(2,4-DICHLORO-5-METHYLPHENYL)SULFONYL]-1,3-DINITRO-5-(TRIFLUOROMETHYL)BENZENE"
"CMP5009","DB07621","experimental","(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE"
"CMP5010","DB07622","experimental","1-(3-(2,4-DIMETHYLTHIAZOL-5-YL)-4-OXO-2,4-DIHYDROINDENO[1,2-C]PYRAZOL-5-YL)-3-(4-METHYLPIPERAZIN-1-YL)UREA"
"CMP5011","DB07623","experimental","4,4'-DIPYRIDYL DISULFIDE"
"CMP5012","DB07624","experimental","1-{[(3R)-3-methyl-4-({4-[(1S)-2,2,2-trifluoro-1-hydroxy-1-methylethyl]phenyl}sulfonyl)piperazin-1-yl]methyl}cyclopropanecarboxamide"
"CMP5013","DB07625","experimental","4-(2-aminoethoxy)-N-(2,5-diethoxyphenyl)-3,5-dimethylbenzamide"
"CMP5014","DB07626","experimental","4-(2-aminoethoxy)-N-(3-chloro-2-ethoxy-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide"
"CMP5015","DB07627","experimental","(2S)-4-METHYL-2-(3-PHENYLTHIOUREIDO)-N-((3S)-TETRAHYDRO-2-HYDROXY-3-FURANYL)PENTANAMIDE"
"CMP5016","DB07628","experimental","6-(2-fluorobenzyl)-2,4-dimethyl-4,6-dihydro-5H-thieno[2',3':4,5]pyrrolo[2,3-d]pyridazin-5-one"
"CMP5017","DB07629","experimental","N-((1R,2S)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE"
"CMP5018","DB07630","experimental","N-((1R,2R)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE"
"CMP5019","DB07631","experimental","Lauryldimethylbetaine"
"CMP5020","DB07632","experimental","5-(2-chlorophenyl)-1,3,4-thiadiazole-2-sulfonamide"
"CMP5021","DB07633","experimental","octyl 3-deoxy-2-O-(6-deoxy-alpha-L-galactopyranosyl)-beta-D-xylo-hexopyranoside"
"CMP5022","DB07634","experimental","(2,6-Dimethylphenoxy)acetic acid"
"CMP5023","DB07635","experimental","4,4'-Dihydroxybenzophenone"
"CMP5024","DB07636","experimental","5-Heptyl-6-hydroxy-1,3-benzothiazole-4,7-dione"
"CMP5025","DB07637","experimental","Dibromotyrosine"
"CMP5026","DB07638","experimental","(3AS,4R,9BR)-2,2-DIFLUORO-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL"
"CMP5027","DB07640","experimental","2-decyl-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione"
"CMP5028","DB07641","experimental","Decyl(dimethyl)phosphine oxide"
"CMP5029","DB07642","experimental","5-{[1-(2-fluorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine"
"CMP5030","DB07643","experimental","5-{[1-(2,3-dichlorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine"
"CMP5031","DB07644","experimental","5-[(1S)-1-(3-chlorophenyl)ethoxy]quinazoline-2,4-diamine"
"CMP5032","DB07645","experimental","Sebacic acid"
"CMP5033","DB07646","experimental","UNDECYLAMINE-N,N-DIMETHYL-N-OXIDE"
"CMP5034","DB07647","experimental","(2R)-1-[(5,6-DIPHENYL-7H-PYRROLO[2,3-D]PYRIMIDIN-4-YL)AMINO]PROPAN-2-OL"
"CMP5035","DB07648","experimental","(2R)-3-{[(4Z)-5,6-DIPHENYL-6,7-DIHYDRO-4H-PYRROLO[2,3-D]PYRIMIDIN-4-YLIDENE]AMINO}PROPANE-1,2-DIOL"
"CMP5036","DB07649","experimental","(3R,4S)-1-[(4-amino-5H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]-4-[(benzylsulfanyl)methyl]pyrrolidin-3-ol"
"CMP5037","DB07650","experimental","Decyl formate"
"CMP5038","DB07651","experimental","N-ACETYL-L-PHENYLALANYL-4-[DIFLUORO(PHOSPHONO)METHYL]-L-PHENYLALANINAMIDE"
"CMP5039","DB07652","experimental","1-[2-DEOXYRIBOFURANOSYL]-2,4-DIFLUORO-5-METHYL-BENZENE-5'MONOPHOSPHATE"
"CMP5040","DB07653","experimental","N-(5,6-DIPHENYLFURO[2,3-D]PYRIMIDIN-4-YL)GLYCINE"
"CMP5041","DB07654","experimental","(5,6-DIPHENYL-FURO[2,3-D]PYRIMIDIN-4-YLAMINO)-ACETIC"
"CMP5042","DB07655","experimental","3-AMINO-3-BENZYL-[4.3.0]BICYCLO-1,6-DIAZANONAN-2-ONE"
"CMP5043","DB07661","experimental","1,6-Naphthalenediol"
"CMP5044","DB07662","experimental","PD-168393"
"CMP5045","DB07663","experimental","2-[(1R)-1-CARBOXY-2-(4-HYDROXYPHENYL)ETHYL]-1,3-DIOXOISOINDOLINE-5-CARBOXYLIC ACID"
"CMP5046","DB07664","experimental","K-00546"
"CMP5047","DB07665","experimental","N-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide"
"CMP5048","DB07666","experimental","(3R,4S)-1-{6-[3-(METHYLSULFONYL)PHENYL]PYRIMIDIN-4-YL}-4-(2,4,5-TRIFLUOROPHENYL)PYRROLIDIN-3-AMINE"
"CMP5049","DB07668","experimental","alpha-Methyl-2-hydroxy-4-diethylaminocinnamic acid"
"CMP5050","DB07669","experimental","2,3-Dimethyl-1,4-naphthoquinone"
"CMP5051","DB07670","experimental","N,4-Dimethyl-N-(1-phenyl-1H-pyrazol-5-yl)benzenesulfonamide"
"CMP5052","DB07671","experimental","2-[1-METHYLHEXYL]-4,6-DINITROPHENOL"
"CMP5053","DB07673","experimental","(2S)-2-Methyl-3-phenylpropanoic acid"
"CMP5054","DB07674","experimental","O,O-DIETHYL HYDROGEN THIOPHOSPHATE"
"CMP5055","DB07675","experimental","(2S)-2-ETHOXY-3-{4-[2-(10H-PHENOXAZIN-10-YL)ETHOXY]PHENYL}PROPANOIC ACID"
"CMP5056","DB07676","experimental","3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one"
"CMP5057","DB07677","experimental","2-methyl-3,5,7,8-tetrahydro-4H-thiopyrano[4,3-d]pyrimidin-4-one"
"CMP5058","DB07678","experimental","(9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL"
"CMP5059","DB07679","experimental","(9S,12S)-9-(1-methylethyl)-7,10-dioxo-2-oxa-8,11-diazabicyclo[12.2.2]octadeca-1(16),14,17-triene-12-carboxylic acid"
"CMP5060","DB07680","experimental","[(1S)-1-(5-CHLORO-1-BENZOTHIEN-3-YL)-2-(2-NAPHTHYLAMINO)-2-OXOETHYL]PHOSPHONIC ACID"
"CMP5061","DB07681","experimental","DODECANESULFONATE ION"
"CMP5062","DB07683","experimental","N-(dibenzo[b,d]thiophen-3-ylsulfonyl)-L-valine"
"CMP5063","DB07684","experimental","5-(DIMETHYLAMINO)-2-NAPHTHALENESULFONIC ACID"
"CMP5064","DB07685","experimental","4-{[5-(CYCLOHEXYLMETHOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE"
"CMP5065","DB07686","experimental","4-{[5-(CYCLOHEXYLAMINO)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE"
"CMP5066","DB07688","experimental","4-{[5-(CYCLOHEXYLOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE"
"CMP5067","DB07689","experimental","METHYL 1-(4-{[(2,4-DIAMINOPTERIDIN-6-YL)METHYL]AMINO}BENZOYL)PIPERIDINE-4-CARBOXYLATE"
"CMP5068","DB07691","experimental","2-({[3-(3,4-dihydroisoquinolin-2(1H)-ylsulfonyl)phenyl]carbonyl}amino)benzoic acid"
"CMP5069","DB07692","experimental","1-[(2,6-difluorophenyl)sulfonyl]-4-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)piperazine"
"CMP5070","DB07693","experimental","N-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide"
"CMP5071","DB07694","experimental","2,5-dichloro-N-(3,5-dibromo-4-hydroxyphenyl)benzamide"
"CMP5072","DB07695","experimental","N-(3,5-dibromo-4-hydroxyphenyl)-4-hydroxy-3,5-dimethylbenzamide"
"CMP5073","DB07696","experimental","methyl (3S)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate"
"CMP5074","DB07697","experimental","1-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-[(4-methoxyphenyl)sulfonyl]piperazine"
"CMP5075","DB07698","experimental","3-(3-aminophenyl)-N-(3-chlorophenyl)pyrazolo[1,5-a]pyrimidin-5-amine"
"CMP5076","DB07700","experimental","3-carboxamido-1,3,5(10)-estratrien-17(R)-spiro-2'(5',5'-dimethyl-6'oxo)tetrahydropyran"
"CMP5077","DB07701","experimental","1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE"
"CMP5078","DB07702","experimental","17alpha-Estriol"
"CMP5079","DB07703","experimental","(3R,4S,5S,7R,9E,11R,12R)-12-ETHYL-4-HYDROXY-3,5,7,11-TETRAMETHYLOXACYCLODODEC-9-ENE-2,8-DIONE"
"CMP5080","DB07704","experimental","6-AMINO-4-[2-(4-METHOXYPHENYL)ETHYL]-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE"
"CMP5081","DB07705","experimental","(S)-econazole"
"CMP5082","DB07706","experimental","2-Hydroxyestradiol"
"CMP5083","DB07707","experimental","(9BETA,11ALPHA,13ALPHA,14BETA,17ALPHA)-11-(METHOXYMETHYL)ESTRA-1(10),2,4-TRIENE-3,17-DIOL"
"CMP5084","DB07708","experimental","3-CHLORO-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL"
"CMP5085","DB07711","experimental","(2S,3R)-3-(6-amino-9H-purin-9-yl)nonan-2-ol"
"CMP5086","DB07712","experimental","3-ETHYL-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL"
"CMP5087","DB07713","experimental","(1S)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid"
"CMP5088","DB07714","experimental","6-(3-METHYL-1,4-DIOXO-1,4-DIHYDRONAPHTHALEN-2-YL)HEXANOIC ACID"
"CMP5089","DB07715","investigational","Emodin"
"CMP5090","DB07716","experimental","(4Z)-2,8:7,12:11,15:14,18:17,22-PENTAANHYDRO-4,5,6,9,10,13,19,20,21-NONADEOXY-D-ARABINO-D-ALLO-D-ALLO-DOCOSA-4,9,20-TRIENITOL"
"CMP5091","DB07717","experimental","(5S,8R,9S,10S,13R,14S,17S)-13-{2-[(3,5-DIFLUOROBENZYL)OXY]ETHYL}-17-HYDROXY-10-METHYLHEXADECAHYDRO-3H-CYCLOPENTA[A]PHENANTHREN-3-ONE"
"CMP5092","DB07718","experimental","4-Hydroxyphenylpyruvic acid"
"CMP5093","DB07719","experimental","[(3R)-3-(Methylcarbamoyl)-2-{[(2-methyl-2-propanyl)oxy]carbonyl}-1,2,3,4-tetrahydro-7-isoquinolinyl]sulfamic acid"
"CMP5094","DB07720","experimental","Epibatidine"
"CMP5095","DB07721","experimental","DIETHYL 4-METHOXYPHENYL PHOSPHATE"
"CMP5096","DB07722","experimental","3-(4-NITRO-PHENOXY)-PROPAN-1-OL"
"CMP5097","DB07723","experimental","3-(5-methoxy-1H-indol-3-yl)propanoic acid"
"CMP5098","DB07724","experimental","Indeglitazar"
"CMP5099","DB07726","experimental","t-Butylhydroquinone"
"CMP5100","DB07728","experimental","2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE"
"CMP5101","DB07729","experimental","3-fluoro-N-[3-(1H-tetrazol-5-yl)phenyl]benzamide"
"CMP5102","DB07730","experimental","5-(3-HYDROXYPHENYL)ISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE"
"CMP5103","DB07732","experimental","2-[(2-NAPHTHYLSULFONYL)AMINO]ETHYL DIHYDROGEN PHOSPHATE"
"CMP5104","DB07733","experimental","1-METHYL-3-TRIFLUOROMETHYL-1H-THIENO[2,3-C]PYRAZOLE-5-CARBOXYLIC ACID (2-MERCAPTO-ETHYL)-AMIDE"
"CMP5105","DB07734","experimental","N-(1-benzylpiperidin-4-yl)-4-sulfanylbutanamide"
"CMP5106","DB07735","experimental","N-[1-(2,6-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide"
"CMP5107","DB07736","experimental","(2S)-4-(4-fluorobenzyl)-N-(2-sulfanylethyl)piperazine-2-carboxamide"
"CMP5108","DB07737","experimental","(2S)-4-(4-fluorobenzyl)-N-(3-sulfanylpropyl)piperazine-2-carboxamide"
"CMP5109","DB07738","experimental","N-[1-(5-bromo-2,3-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide"
"CMP5110","DB07739","experimental","(3R)-3-(FLUOROMETHYL)-7-(THIOMORPHOLIN-4-YLSULFONYL)-1,2,3,4-TETRAHYDROISOQUINOLINE"
"CMP5111","DB07741","experimental","4-(1R,3AS,4R,8AS,8BR)-[1-DIFLUOROMETHYL-2-(4-FLUOROBENZYL)-3-OXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZAMIDINE"
"CMP5112","DB07742","experimental","N-(2,3-DIFLUORO-BENZYL)-4-SULFAMOYL-BENZAMIDE"
"CMP5113","DB07743","experimental","S-[5-(TRIFLUOROMETHYL)-4H-1,2,4-TRIAZOL-3-YL] 5-(PHENYLETHYNYL)FURAN-2-CARBOTHIOATE"
"CMP5114","DB07745","experimental","2-{[4-(TRIFLUOROMETHOXY)BENZOYL]AMINO}ETHYL DIHYDROGEN PHOSPHATE"
"CMP5115","DB07746","experimental","3-ETHYL-6-{[(4-FLUOROPHENYL)SULFONYL]AMINO}-2-METHYLBENZOIC ACID"
